Yosemite://10.0.0.31:1606
17/05/03 16:23:41.261 INFO Slf4jLogger: Slf4jLogger started
17/05/03 16:25:04.073 INFO SlaveActor: 5049.0 5601.0
17/05/03 16:25:05.071 INFO SlaveActor: 61297.0 27536.0
17/05/03 16:25:06.081 INFO SlaveActor: 97778.0 23876.0
17/05/03 16:25:07.082 INFO SlaveActor: 250724.0 19726.0
17/05/03 16:25:08.072 INFO SlaveActor: 163103.0 13807.0
17/05/03 16:25:09.072 INFO SlaveActor: 5266.0 1341.0
17/05/03 16:25:10.073 INFO SlaveActor: 1388.0 3372.0
17/05/03 16:25:11.073 INFO SlaveActor: 41026.0 5982.0
17/05/03 16:25:12.074 INFO SlaveActor: 4656.0 3507.0
17/05/03 16:25:13.073 INFO SlaveActor: 1157.0 844.0
17/05/03 16:25:14.073 INFO SlaveActor: 805.0 890.0
17/05/03 16:25:15.073 INFO SlaveActor: 1564.0 1698.0
17/05/03 16:25:16.072 INFO SlaveActor: 559.0 559.0
17/05/03 16:25:17.073 INFO SlaveActor: 706.0 654.0
17/05/03 16:25:18.074 INFO SlaveActor: 809.0 953.0
17/05/03 16:25:19.071 INFO SlaveActor: 900.0 3631.0
17/05/03 16:25:20.081 INFO SlaveActor: 10145.0 7848.0
17/05/03 16:25:21.072 INFO SlaveActor: 3168.0 1266.0
17/05/03 16:25:22.072 INFO SlaveActor: 559.0 559.0
17/05/03 16:25:23.071 INFO SlaveActor: 650.0 654.0
17/05/03 16:25:24.081 INFO SlaveActor: 559.0 559.0
17/05/03 16:25:25.082 INFO SlaveActor: 1209.0 1027.0
17/05/03 16:25:26.072 INFO SlaveActor: 856.0 861.0
17/05/03 16:25:27.073 INFO SlaveActor: 615.0 678.0
17/05/03 16:25:28.073 INFO SlaveActor: 895.0 958.0
17/05/03 16:25:29.071 INFO SlaveActor: 727.0 868.0
17/05/03 16:25:30.081 INFO SlaveActor: 1213.0 1440.0
17/05/03 16:25:31.082 INFO SlaveActor: 6386.0 8011.0
17/05/03 16:25:32.073 INFO SlaveActor: 6855.0 9193.0
17/05/03 16:25:33.073 INFO SlaveActor: 955.0 1557.0
17/05/03 16:25:34.073 INFO SlaveActor: 6473.0 6618.0
17/05/03 16:25:35.072 INFO SlaveActor: 1767.0 2268.0
17/05/03 16:25:36.071 INFO SlaveActor: 1458.0 3971.0
17/05/03 16:25:37.080 INFO SlaveActor: 1164.0 1382.0
17/05/03 16:25:38.083 INFO SlaveActor: 942.0 1126.0
17/05/03 16:25:39.073 INFO SlaveActor: 783.0 916.0
17/05/03 16:25:40.071 INFO SlaveActor: 789.0 1819.0
17/05/03 16:25:41.082 INFO SlaveActor: 5325.0 2666.0
17/05/03 16:25:42.073 INFO SlaveActor: 6254.0 3464.0
17/05/03 16:25:43.072 INFO SlaveActor: 4260.0 2692.0
17/05/03 16:25:44.071 INFO SlaveActor: 615.0 559.0
17/05/03 16:25:45.082 INFO SlaveActor: 559.0 559.0
17/05/03 16:25:46.072 INFO SlaveActor: 559.0 559.0
17/05/03 16:25:47.071 INFO SlaveActor: 559.0 678.0
17/05/03 16:25:48.082 INFO SlaveActor: 615.0 678.0
17/05/03 16:25:49.073 INFO SlaveActor: 727.0 3352.0
17/05/03 16:25:50.073 INFO SlaveActor: 8153.0 5548.0
17/05/03 16:25:51.073 INFO SlaveActor: 6625.0 5612.0
17/05/03 16:25:52.073 INFO SlaveActor: 615.0 797.0
17/05/03 16:25:53.071 INFO SlaveActor: 615.0 678.0
17/05/03 16:25:54.083 INFO SlaveActor: 615.0 797.0
17/05/03 16:25:55.072 INFO SlaveActor: 2663.0 2726.0
17/05/03 16:25:56.072 INFO SlaveActor: 671.0 1280.0
17/05/03 16:25:57.071 INFO SlaveActor: 7239.0 1678.0
17/05/03 16:25:58.082 INFO SlaveActor: 615.0 724.0
17/05/03 16:25:59.073 INFO SlaveActor: 559.0 559.0
17/05/03 16:26:00.072 INFO SlaveActor: 615.0 773.0
17/05/03 16:26:01.073 INFO SlaveActor: 821.0 892.0
17/05/03 16:26:02.073 INFO SlaveActor: 615.0 678.0
17/05/03 16:26:03.073 INFO SlaveActor: 615.0 678.0
17/05/03 16:26:04.071 INFO SlaveActor: 615.0 678.0
17/05/03 16:26:05.081 INFO SlaveActor: 615.0 773.0
17/05/03 16:26:06.072 INFO SlaveActor: 874.0 916.0
17/05/03 16:26:07.072 INFO SlaveActor: 787.0 1097.0
17/05/03 16:26:08.072 INFO SlaveActor: 727.0 773.0
17/05/03 16:26:09.071 INFO SlaveActor: 559.0 654.0
17/05/03 16:26:10.084 INFO SlaveActor: 1058.0 1065.0
17/05/03 16:26:11.072 INFO SlaveActor: 5930.0 3512.0
17/05/03 16:26:12.072 INFO SlaveActor: 8710.0 5410.0
17/05/03 16:26:13.073 INFO SlaveActor: 7718.0 2632.0
17/05/03 16:26:14.072 INFO SlaveActor: 671.0 678.0
17/05/03 16:26:15.071 INFO SlaveActor: 1327.0 1631.0
17/05/03 16:26:16.083 INFO SlaveActor: 819.0 785.0
17/05/03 16:26:17.073 INFO SlaveActor: 615.0 678.0
17/05/03 16:26:18.071 INFO SlaveActor: 671.0 773.0
17/05/03 16:26:19.082 INFO SlaveActor: 615.0 2658.0
17/05/03 16:26:20.072 INFO SlaveActor: 5143.0 4545.0
17/05/03 16:26:21.072 INFO SlaveActor: 1999.0 1113.0
17/05/03 16:26:22.073 INFO SlaveActor: 559.0 559.0
17/05/03 16:26:23.074 INFO SlaveActor: 615.0 559.0
17/05/03 16:26:24.071 INFO SlaveActor: 559.0 559.0
17/05/03 16:26:25.083 INFO SlaveActor: 559.0 559.0
17/05/03 16:26:26.074 INFO SlaveActor: 733.0 966.0
17/05/03 16:26:27.072 INFO SlaveActor: 559.0 559.0
17/05/03 16:26:28.074 INFO SlaveActor: 793.0 667.0
17/05/03 16:26:29.073 INFO SlaveActor: 559.0 559.0
17/05/03 16:26:30.072 INFO SlaveActor: 559.0 773.0
17/05/03 16:26:31.073 INFO SlaveActor: 1984.0 3143.0
17/05/03 16:26:32.073 INFO SlaveActor: 8192.0 17491.0
17/05/03 16:26:33.071 INFO SlaveActor: 24717.0 30729.0
17/05/03 16:26:34.072 INFO SlaveActor: 32024.0 46114.0
17/05/03 16:26:35.073 INFO SlaveActor: 19408.0 44525.0
17/05/03 16:26:36.071 INFO SlaveActor: 13764.0 22402.0
17/05/03 16:26:37.082 INFO SlaveActor: 6963.0 14279.0
17/05/03 16:26:38.073 INFO SlaveActor: 3460.0 8352.0
17/05/03 16:26:39.072 INFO SlaveActor: 2299.0 4549.0
17/05/03 16:26:40.071 INFO SlaveActor: 809.0 2681.0
17/05/03 16:26:41.082 INFO SlaveActor: 9658.0 5395.0
17/05/03 16:26:42.072 INFO SlaveActor: 3461.0 4949.0
17/05/03 16:26:43.072 INFO SlaveActor: 2755.0 2331.0
17/05/03 16:26:44.072 INFO SlaveActor: 1869.0 2200.0
17/05/03 16:26:45.072 INFO SlaveActor: 559.0 559.0
17/05/03 16:26:46.072 INFO SlaveActor: 825.0 666.0
17/05/03 16:26:47.071 INFO SlaveActor: 559.0 559.0
17/05/03 16:26:48.082 INFO SlaveActor: 615.0 559.0
17/05/03 16:26:49.072 INFO SlaveActor: 559.0 3138.0
17/05/03 16:26:50.073 INFO SlaveActor: 2802.0 5070.0
17/05/03 16:26:51.071 INFO SlaveActor: 9972.0 3898.0
17/05/03 16:26:52.083 INFO SlaveActor: 3150.0 1086.0
17/05/03 16:26:53.071 INFO SlaveActor: 650.0 773.0
17/05/03 16:26:54.082 INFO SlaveActor: 671.0 678.0
17/05/03 16:26:55.073 INFO SlaveActor: 1950.0 2014.0
17/05/03 16:26:56.074 INFO SlaveActor: 904.0 1240.0
17/05/03 16:26:57.073 INFO SlaveActor: 3965.0 1339.0
17/05/03 16:26:58.071 INFO SlaveActor: 985.0 785.0
17/05/03 16:26:59.073 INFO SlaveActor: 711.0 1689.0
17/05/03 16:27:00.073 INFO SlaveActor: 2180.0 2224.0
17/05/03 16:27:01.071 INFO SlaveActor: 1142.0 1330.0
17/05/03 16:27:02.082 INFO SlaveActor: 828.0 844.0
17/05/03 16:27:03.073 INFO SlaveActor: 940.0 886.0
17/05/03 16:27:04.073 INFO SlaveActor: 559.0 559.0
17/05/03 16:27:05.073 INFO SlaveActor: 789.0 668.0
17/05/03 16:27:06.074 INFO SlaveActor: 718.0 1192.0
17/05/03 16:27:07.072 INFO SlaveActor: 559.0 559.0
17/05/03 16:27:08.072 INFO SlaveActor: 1003.0 728.0
17/05/03 16:27:09.071 INFO SlaveActor: 559.0 559.0
17/05/03 16:27:10.084 INFO SlaveActor: 895.0 958.0
17/05/03 16:27:11.073 INFO SlaveActor: 9400.0 3357.0
17/05/03 16:27:12.073 INFO SlaveActor: 2845.0 3969.0
17/05/03 16:27:13.073 INFO SlaveActor: 3588.0 4947.0
17/05/03 16:27:14.071 INFO SlaveActor: 559.0 559.0
17/05/03 16:27:15.083 INFO SlaveActor: 7597.0 3394.0
17/05/03 16:27:16.072 INFO SlaveActor: 615.0 678.0
17/05/03 16:27:17.072 INFO SlaveActor: 615.0 678.0
17/05/03 16:27:18.072 INFO SlaveActor: 789.0 678.0
17/05/03 16:27:19.072 INFO SlaveActor: 1927.0 3025.0
17/05/03 16:27:20.073 INFO SlaveActor: 3643.0 3536.0
17/05/03 16:27:21.073 INFO SlaveActor: 2267.0 1278.0
17/05/03 16:27:22.072 INFO SlaveActor: 559.0 559.0
17/05/03 16:27:23.073 INFO SlaveActor: 559.0 678.0
17/05/03 16:27:24.071 INFO SlaveActor: 615.0 654.0
17/05/03 16:27:25.084 INFO SlaveActor: 615.0 559.0
17/05/03 16:27:26.072 INFO SlaveActor: 559.0 654.0
17/05/03 16:27:27.071 INFO SlaveActor: 615.0 654.0
17/05/03 16:27:28.082 INFO SlaveActor: 615.0 678.0
17/05/03 16:27:29.073 INFO SlaveActor: 615.0 678.0
17/05/03 16:27:30.072 INFO SlaveActor: 1125.0 1172.0
17/05/03 16:27:31.071 INFO SlaveActor: 1539.0 1842.0
17/05/03 16:27:32.081 INFO SlaveActor: 671.0 732.0
17/05/03 16:27:33.082 INFO SlaveActor: 855.0 797.0
17/05/03 16:27:34.072 INFO SlaveActor: 907.0 839.0
17/05/03 16:27:35.073 INFO SlaveActor: 1970.0 4327.0
17/05/03 16:27:36.073 INFO SlaveActor: 4608.0 1129.0
17/05/03 16:27:37.073 INFO SlaveActor: 722.0 763.0
17/05/03 16:27:38.072 INFO SlaveActor: 559.0 559.0
17/05/03 16:27:39.073 INFO SlaveActor: 678.0 605.0
17/05/03 16:27:40.073 INFO SlaveActor: 559.0 654.0
17/05/03 16:27:41.074 INFO SlaveActor: 4713.0 2690.0
17/05/03 16:27:42.072 INFO SlaveActor: 5231.0 2342.0
17/05/03 16:27:43.072 INFO SlaveActor: 2745.0 2043.0
17/05/03 16:27:44.073 INFO SlaveActor: 2001.0 2038.0
17/05/03 16:27:45.073 INFO SlaveActor: 2484.0 785.0
17/05/03 16:27:46.073 INFO SlaveActor: 615.0 678.0
17/05/03 16:27:47.072 INFO SlaveActor: 615.0 678.0
17/05/03 16:27:48.071 INFO SlaveActor: 615.0 678.0
17/05/03 16:27:49.084 INFO SlaveActor: 559.0 559.0
17/05/03 16:27:50.073 INFO SlaveActor: 895.0 958.0
17/05/03 16:27:51.073 INFO SlaveActor: 2860.0 6726.0
17/05/03 16:27:52.071 INFO SlaveActor: 9972.0 3502.0
17/05/03 16:27:53.083 INFO SlaveActor: 763.0 806.0
17/05/03 16:27:54.074 INFO SlaveActor: 559.0 559.0
17/05/03 16:27:55.072 INFO SlaveActor: 1564.0 1508.0
17/05/03 16:27:56.073 INFO SlaveActor: 559.0 559.0
17/05/03 16:27:57.073 INFO SlaveActor: 559.0 559.0
17/05/03 16:27:58.073 INFO SlaveActor: 559.0 559.0
17/05/03 16:27:59.071 INFO SlaveActor: 559.0 666.0
17/05/03 16:28:00.083 INFO SlaveActor: 769.0 868.0
17/05/03 16:28:01.071 INFO SlaveActor: 615.0 773.0
17/05/03 16:28:02.073 INFO SlaveActor: 924.0 987.0
17/05/03 16:28:03.073 INFO SlaveActor: 1102.0 712.0
17/05/03 16:28:04.073 INFO SlaveActor: 559.0 605.0
17/05/03 16:28:05.073 INFO SlaveActor: 559.0 559.0
17/05/03 16:28:06.073 INFO SlaveActor: 559.0 559.0
17/05/03 16:28:07.073 INFO SlaveActor: 727.0 897.0
17/05/03 16:28:08.072 INFO SlaveActor: 559.0 559.0
17/05/03 16:28:09.073 INFO SlaveActor: 718.0 767.0
17/05/03 16:28:10.073 INFO SlaveActor: 839.0 839.0
17/05/03 16:28:11.071 INFO SlaveActor: 4154.0 1841.0
17/05/03 16:28:12.084 INFO SlaveActor: 6182.0 2426.0
17/05/03 16:28:13.071 INFO SlaveActor: 3888.0 2725.0
17/05/03 16:28:14.082 INFO SlaveActor: 2904.0 2179.0
17/05/03 16:28:15.072 INFO SlaveActor: 2378.0 1734.0
